Job title,Yearly Salary (USD),Years Work Experience
Sr. Solution Advisor,85000.0,21 - 30 years
Chief of Staff,188000.0,5-7 years
Librarian,60000.0,5-7 years
Information Analyst,96000.0,21 - 30 years
UX Designer ,140000.0,2 - 4 years
Manager,89900.0,5-7 years
"Senior advisor, communications",105723.0,11 - 20 years
Senior Design Engineer - Control Systems,133400.0,11 - 20 years
Revenue Agent,107146.0,11 - 20 years
Environmental Specialist ,125000.0,5-7 years
Office Manager,62400.0,5-7 years
Purchasing,48000.0,11 - 20 years
Account Manager,66000.0,5-7 years
Talent Acquisition Specialist ,58000.0,2 - 4 years
Sr Program Manager,117120.0,5-7 years
Operations ,107000.0,2 - 4 years
Executive Assistant/Admin Asst 3,63000.0,21 - 30 years
Assistant General Counsel,182450.0,8 - 10 years
Customer Success Manager,55000.0,5-7 years
TAC ENT RT SWITCHING CISCO,95000.0,11 - 20 years
HRIS Analyst,85000.0,5-7 years
Project Manager,58320.0,5-7 years
"Project Manager, Workplace Experience",57500.0,11 - 20 years
Technical Account Manager,113000.0,5-7 years
Advisory analyst,58000.0,2 - 4 years
Web Content Manager,84000.0,8 - 10 years
Scientist,120000.0,5-7 years
Human Resources Manager,77000.0,21 - 30 years
IT Support Engineer,65166.0,21 - 30 years
Insurance Specialist,50211.0,5-7 years
Facilities Coordinator,71400.0,11 - 20 years
Libraran ,48900.0,2 - 4 years
Digital Services Manager,85000.0,8 - 10 years
Marketing manager ,70000.0,8 - 10 years
Technical Writer,85000.0,2 - 4 years
Data Analytics Manager,105000.0,5-7 years
Program Manager,90600.0,11 - 20 years
Legal Assistant,39520.0,5-7 years
Quality Engineer,73500.0,21 - 30 years
Chief of Staff,180000.0,11 - 20 years
Senior experience strategist,73645.0,2 - 4 years
Technology Lead,128000.0,11 - 20 years
Admitting ,44000.0,5-7 years
Policy Analyst,64500.0,5-7 years
Budget Analyst,75078.0,2 - 4 years
Nurse practitioner ,100000.0,2 - 4 years
Office Coordinator,37000.0,8 - 10 years
Research Librarian,50000.0,11 - 20 years
Division Operations Support,43000.0,21 - 30 years
Senior Manager,170000.0,11 - 20 years
Associate Attorney,120000.0,11 - 20 years
Staff Accountant,62000.0,5-7 years
Househusband,0.0,5-7 years
Assistant Brand Manager,70000.0,5-7 years
Registrar,38040.0,5-7 years
Senior Support Engineer,92000.0,5-7 years
Engineering Manager,235000.0,11 - 20 years
Reporter,62500.0,2 - 4 years
Senior Staff Attorney ,65000.0,11 - 20 years
Associate Development Officer ,53000.0,5-7 years
Lead Talent Acquisition Partner,115000.0,21 - 30 years
Librarian ,43500.0,5-7 years
Director,220000.0,11 - 20 years
Manager,82000.0,21 - 30 years
Consumer Loans Assistant Manager,70000.0,11 - 20 years
Manager of Campaigns,69800.0,8 - 10 years
Application Support Specialist II,85000.0,11 - 20 years
Assistant Controller ,150000.0,11 - 20 years
Office & Lab Manager ,32000.0,11 - 20 years
Demand Planning Analyst,90100.0,5-7 years
Principal Engineer,195000.0,11 - 20 years
Paralegal,37000.0,5-7 years
"Assistant Director, HR",60000.0,11 - 20 years
Executive Administrative Assistant,45000.0,11 - 20 years
Sales support specialist ,62000.0,8 - 10 years
Principal Product Designer,175000.0,11 - 20 years
Narrative Editor,95000.0,5-7 years
Investment analyst,90000.0,5-7 years
Senior Global Content Strategist,91000.0,5-7 years
Medical Affairs Specialist II,95000.0,8 - 10 years
HR Project Manager,100000.0,2 - 4 years
Product Manager,130000.0,5-7 years
Chief Curator,128000.0,11 - 20 years
Contributing Writer,30000.0,5-7 years
Production Manager,117500.0,8 - 10 years
Strategic Account Executive ,140000.0,11 - 20 years
Student Affairs Manager,70000.0,11 - 20 years
Research Analyst,52500.0,2 - 4 years
Scripter,40000.0,11 - 20 years
Managing Editor,69000.0,21 - 30 years
Project Lead,71000.0,5-7 years
Corporate Counsel,126000.0,11 - 20 years
Accounts Payable ,41000.0,8 - 10 years
Senior Software ENgineer,142000.0,21 - 30 years
customer service rep,50000.0,11 - 20 years
Sales Engineer,100000.0,5-7 years
Operations Assistant,36600.0,11 - 20 years
Clinical Support Coordinator ,41600.0,8 - 10 years
Sr. Software Engineer,115000.0,21 - 30 years
Head of Technical Services,76000.0,11 - 20 years
Associate,305000.0,5-7 years
Analytic Consultant,90000.0,21 - 30 years
Library Technician,51584.0,11 - 20 years
Research Scientist,92000.0,8 - 10 years
Associate Attorney,245000.0,5-7 years
Editor ,55000.0,11 - 20 years
Talent Relations Manager ,87000.0,8 - 10 years
Project Manager ,105500.0,8 - 10 years
Producer,104000.0,21 - 30 years
Campus Rabbi,120000.0,21 - 30 years
Production assistant,27000.0,21 - 30 years
Continuous improvement manager,73500.0,1 year or less
Content Director,90000.0,8 - 10 years
Software Engineer 3,135000.0,8 - 10 years
Project Manager,83900.0,8 - 10 years
IT Consultant ,90000.0,31 - 40 years
Research Manager,62000.0,2 - 4 years
Information Security Officer,142000.0,21 - 30 years
Data Scientist II,154000.0,5-7 years
Associate Librarian,90960.0,11 - 20 years
"Associate Director, Learning and Development ",87000.0,5-7 years
Senior Director of Marketing,210000.0,11 - 20 years
Population Health Supervisor,74800.0,5-7 years
Project Manager ,72500.0,8 - 10 years
Software engineer,160000.0,1 year or less
Senior systems engineer,120000.0,8 - 10 years
Video Producer ,79000.0,11 - 20 years
Assistant professor,72100.0,2 - 4 years
Graphic Designer & Sign Fabrication,37440.0,21 - 30 years
District Manager,93000.0,5-7 years
Music Coordinator,58000.0,5-7 years
Attorney ,215000.0,21 - 30 years
Assistant Sales Manager,29500.0,11 - 20 years
Legal director ,190000.0,11 - 20 years
Engineering Manager,122595.0,8 - 10 years
Research Analyst,86000.0,8 - 10 years
"Manager, Business Operations",120000.0,5-7 years
Associate Publisher,60000.0,8 - 10 years
Features editor,80000.0,11 - 20 years
Brand Partnerships Marketing Manager,91000.0,11 - 20 years
staff software engineer,179000.0,8 - 10 years
RN,93000.0,21 - 30 years
Counsel,172000.0,8 - 10 years
Senior Online Editor,65000.0,21 - 30 years
Loan officer,56784.0,11 - 20 years
Senior Database Engineer,110000.0,11 - 20 years
Regulatory Manager ,89000.0,11 - 20 years
QA Analyst,45000.0,11 - 20 years
Senior Technical Program Manager,134000.0,8 - 10 years
Data analyst,93500.0,11 - 20 years
Associate Attorney,115000.0,5-7 years
Director,228000.0,11 - 20 years
Human Resources Analyst ,76000.0,5-7 years
Associate Creative Director,106800.0,8 - 10 years
eLearning Specialist,72000.0,11 - 20 years
Director of Engineering,225000.0,21 - 30 years
Librarian,55000.0,11 - 20 years
Staff Software Engineer,170000.0,21 - 30 years
Instructional Technologist,82000.0,21 - 30 years
Software Developer Senior Engineer,110000.0,11 - 20 years
Executive Director ,97500.0,11 - 20 years
Associate Scientist III,85000.0,1 year or less
Business Manager,58000.0,21 - 30 years
Software Engineer,146000.0,2 - 4 years
Cloud Security Advisor,134500.0,11 - 20 years
Software engineering manager,200000.0,8 - 10 years
Instructor,50000.0,8 - 10 years
Director of Community,175000.0,11 - 20 years
Assistant District Attorney,89470.0,8 - 10 years
Staff Software Engineer,200000.0,8 - 10 years
Senior Developer Advocate,141000.0,5-7 years
Training Coordinator,45000.0,1 year or less
deputy managing editor,92035.0,11 - 20 years
QA Engineer,135200.0,21 - 30 years
HR Generalist ,66300.0,11 - 20 years
Consultant ,66500.0,5-7 years
Vice President,119000.0,11 - 20 years
Tax Manager,140000.0,11 - 20 years
School Support,67000.0,11 - 20 years
Lead ad writer,39000.0,11 - 20 years
Benefits Administrator,86000.0,11 - 20 years
Web Product and Content Manager,80250.0,8 - 10 years
Vice President of Engineering,240000.0,11 - 20 years
Attorney,110000.0,2 - 4 years
Senior Program Manager,155000.0,8 - 10 years
Major Gifts Officer,97000.0,11 - 20 years
Creative Project Manager,87500.0,2 - 4 years
Lead Mechanical Engineer,185000.0,11 - 20 years
Associate,90000.0,2 - 4 years
Senior HR Generalist,85000.0,21 - 30 years
Lead Editor,83000.0,11 - 20 years
Data Analyst,75000.0,8 - 10 years
"Director, Analyst",121000.0,11 - 20 years
Senior Director,205000.0,21 - 30 years
Assistant Director,100000.0,11 - 20 years
Workforce Analyst,85000.0,2 - 4 years
Senior Software Engineer,175000.0,8 - 10 years
Associate Attorney,63000.0,5-7 years
Head of Marketing,125000.0,8 - 10 years
Senior Mechanical Engineer,155202.0,21 - 30 years
Warehouse analyst,74000.0,2 - 4 years
Director of Operations,188000.0,21 - 30 years
Communications Manager,61500.0,8 - 10 years
Marketing Automation Specialist,50000.0,5-7 years
Dialysis PCT,38000.0,2 - 4 years
Solutions Engineer ,75000.0,8 - 10 years
HR Diversity Manager,55000.0,11 - 20 years
Policy Analyst,57000.0,2 - 4 years
Engineer,72200.0,2 - 4 years
Actuary 1,62000.0,2 - 4 years
Home healthcare nurse ,62400.0,1 year or less
Project Management Associate,56600.0,2 - 4 years
Associate attorney,115000.0,5-7 years
Software Developer,83500.0,2 - 4 years
Planning Manager ,86810.0,11 - 20 years
assistant professor,156000.0,5-7 years
Certified Inpatient Coder,54184.0,8 - 10 years
"Senior Director, Growth & Strategy",105000.0,5-7 years
Grants Administration ,42000.0,5-7 years
Senior Infrastructure Engineer,210000.0,11 - 20 years
Of Counsel,60000.0,11 - 20 years
Help Desk Supervisor,67000.0,8 - 10 years
Senior Security Engineer,450000.0,11 - 20 years
Title Officer,55000.0,11 - 20 years
Policy Analyst,57000.0,2 - 4 years
Excise Tax Analyst,44298.0,5-7 years
Training and Professional Development Specialist,54000.0,5-7 years
Digital Media Coordinator,52.0,11 - 20 years
Software engineer,171500.0,5-7 years
Senior Manager,230000.0,11 - 20 years
site reliability engineer,160000.0,11 - 20 years
Sr. PR Manager,128000.0,21 - 30 years
IT Specialist,41600.0,11 - 20 years
Project manager,178000.0,31 - 40 years
Graphic Designer,83000.0,5-7 years
Instructional Technologist,55000.0,11 - 20 years
Project Engineer,95000.0,5-7 years
Data Analyst,60000.0,2 - 4 years
IT Technology Specialist,42200.0,11 - 20 years
Porting Team Captain,71000.0,11 - 20 years
Software Consultant,85000.0,5-7 years
Project Engineer ,95000.0,8 - 10 years
Research Intern,31200.0,1 year or less
Director of Football,300000.0,8 - 10 years
Copywriter,40000.0,2 - 4 years
Senior Engineering Manager ,195000.0,11 - 20 years
Macro Strategist,120000.0,5-7 years
Executive Director - School Level,116000.0,11 - 20 years
Engineering Manager,165000.0,8 - 10 years
Paramedic,35360.0,21 - 30 years
Research Scientist,60000.0,11 - 20 years
Clinical Applications Coordinator,70000.0,11 - 20 years
Professional Engineer,77022.0,8 - 10 years
Paraprofessional,20000.0,5-7 years
Senior Corporate Accountant ,100000.0,21 - 30 years
Senior web developer,115000.0,21 - 30 years
Senior Assistant Manager,40500.0,11 - 20 years
Enterprise Resource Planning Analyst I,57500.0,2 - 4 years
"Director, Marketing",148000.0,11 - 20 years
Radiation Therapist,72800.0,8 - 10 years
Principle Firmware Engineer,158000.0,21 - 30 years
Care Manager,46000.0,8 - 10 years
Medical Writer,55000.0,5-7 years
Systems Admininistrator,58000.0,11 - 20 years
Network Engineer,105000.0,11 - 20 years
Research Coordinator,52000.0,1 year or less
Programmer,80000.0,8 - 10 years
Senior Digital Product Designer,105000.0,5-7 years
Success Manager,100000.0,11 - 20 years
Product reviewer,45000.0,8 - 10 years
IT Director,100000.0,11 - 20 years
Dispatcher,45115.0,8 - 10 years
Covid-19 Response Coordinator,47250.0,1 year or less
Warehouse Manager ,42000.0,2 - 4 years
Environmental Compliance ,47000.0,2 - 4 years
Environmental health specialist II,80891.0,8 - 10 years
Buyer,125000.0,5-7 years
Principal Technical Program Manager,155000.0,11 - 20 years
Project Coordinator,84000.0,8 - 10 years
Registered Nurse,46275.0,1 year or less
Information Security Analyst ,66300.0,5-7 years
Developer (software engineer/programmer),63500.0,11 - 20 years
Associate Editor,73500.0,8 - 10 years
Instructional Technologist,82000.0,21 - 30 years
Quality Control Asphalt Technician,37500.0,5-7 years
Campus Recruiting Coordinator,59000.0,5-7 years
Inside Sales,40400.0,11 - 20 years
Devop,100000.0,21 - 30 years
PM Commercial property consultant,70000.0,21 - 30 years
Software Engineer,70452.0,5-7 years
Assistant Supervisor,33000.0,5-7 years
Senior Site Analyst,91000.0,2 - 4 years
Delivery driver,38480.0,11 - 20 years
Business Systems Administrator,67000.0,21 - 30 years
Senior technical writer,81900.0,21 - 30 years
Director,145000.0,11 - 20 years
Assurance Senior Associate,69000.0,2 - 4 years
Software Support,60000.0,5-7 years
Senior Staff Writer,95000.0,11 - 20 years
Intake coordinator,23500.0,5-7 years
Insurance Analyst,77000.0,5-7 years
Information Systems Specialist,37000.0,5-7 years
Director Growth,210000.0,8 - 10 years
Research Analyst,63500.0,11 - 20 years
Software Engineer,149000.0,11 - 20 years
Product Manager,100000.0,11 - 20 years
Development Assistant,53000.0,2 - 4 years
Staff Accountant,48000.0,8 - 10 years
Marketing Specialist ,72000.0,2 - 4 years
Director of Student Services,105000.0,8 - 10 years
Multimedia Content Coordinator,36316.0,8 - 10 years
Director,145000.0,11 - 20 years
"Sr. Manager, OD & Change Management",103000.0,11 - 20 years
Sales Support Analyst,53000.0,5-7 years
Sr. Content Editor,63000.0,2 - 4 years
"Associate Director, Annual Giving",82404.0,11 - 20 years
Director of Planning ,70000.0,21 - 30 years
Staff product designer,157000.0,11 - 20 years
HR Director,151000.0,11 - 20 years
Teacher,48000.0,1 year or less
Executive Assistant,72500.0,5-7 years
Software Engineer,113500.0,11 - 20 years
Senior Manager,90000.0,21 - 30 years
Digital content editor ,44000.0,8 - 10 years
Associate director ,83000.0,2 - 4 years
Desktop Engineer,83000.0,5-7 years
Data Consultant,125000.0,2 - 4 years
Communications Manager,80000.0,11 - 20 years
Product Owner,100000.0,5-7 years
Attorney,146000.0,5-7 years
Associate attorney,105060.0,2 - 4 years
Technical Applications Specialist,63898.0,11 - 20 years
Clinical Analyst,78000.0,2 - 4 years
Junior Software Developer ,85550.0,2 - 4 years
UX Designer,80000.0,5-7 years
Consumer Relations Manager,75945.0,11 - 20 years
Document Control,75000.0,11 - 20 years
Marketing Manager,46000.0,8 - 10 years
Senior IT Specialist,120000.0,11 - 20 years
VP of Analytics,135000.0,21 - 30 years
Manager,45000.0,21 - 30 years
Food Service Managee,45700.0,5-7 years
IT Operations Manager,103000.0,21 - 30 years
Senior program director,112000.0,11 - 20 years
Security Engineer,125000.0,11 - 20 years
Program Manager,62000.0,2 - 4 years
Letter Carrier,60000.0,8 - 10 years
Postdoc,50000.0,5-7 years
"Program Manager, Recruitment",50073.0,11 - 20 years
Senior software engineer,145000.0,11 - 20 years
Staff Accountant II,75000.0,2 - 4 years
Digital Content Specialist,47500.0,5-7 years
Computer Technician,54000.0,5-7 years
Sr. Product Manager,146000.0,41 years or more
Data and layout,43678.0,8 - 10 years
Assistant Professor,77500.0,8 - 10 years
senior cyber security consultant,104000.0,8 - 10 years
"Senior Analyst, Management Consulting",7390.0,2 - 4 years
Director of Desktop Services,74000.0,21 - 30 years
office specialist,42240.0,11 - 20 years
Digital Account Manager,65000.0,11 - 20 years
Senior software Engineer,182000.0,11 - 20 years
Technology and Media Services Coordinator,40000.0,8 - 10 years
Clinical Pharmacist ,115000.0,5-7 years
Tax Manager,125000.0,11 - 20 years
Sr software engineer,140000.0,5-7 years
Paid media manager,67500.0,5-7 years
Production Coordinator,75000.0,11 - 20 years
Senior Account Manager ,85000.0,8 - 10 years
Caseworker,34112.0,8 - 10 years
Web Developer,60000.0,11 - 20 years
Editorial Lead,100000.0,11 - 20 years
Associate,39520.0,2 - 4 years
Chaplain,48000.0,11 - 20 years
Software Engineer II,139461.0,5-7 years
Community Manager,44000.0,2 - 4 years
Billing Clerk,39520.0,21 - 30 years
Account manager,80000.0,11 - 20 years
QA Coordinator,27600.0,11 - 20 years
Executive Assistant,72500.0,5-7 years
Director,160000.0,11 - 20 years
Associate Professor,101000.0,11 - 20 years
Research Program Manager,96000.0,11 - 20 years
Youth Program Coordinator,32000.0,2 - 4 years
Beauty Consultant,25450.0,11 - 20 years
Medical Fellow,68000.0,5-7 years
Technical Program Manager,157000.0,11 - 20 years
Store Manager,82000.0,31 - 40 years
Paralegal,55000.0,11 - 20 years
Cataloger ,42000.0,11 - 20 years
Senior Programmer,93000.0,11 - 20 years
Radio Producer,23000.0,2 - 4 years
Research Scientist,79000.0,5-7 years
Digital Marketing Strategist,77000.0,21 - 30 years
Senior Analyst,82500.0,5-7 years
Assistant Editor,12000.0,2 - 4 years
Director of Software Engineering,123000.0,11 - 20 years
Software Engineer,125000.0,11 - 20 years
Test Engineer 2,89401.0,8 - 10 years
Project coordinator,55000.0,2 - 4 years
VP Product,200000.0,21 - 30 years
Event Coordinator,65000.0,8 - 10 years
Facilitator,70000.0,11 - 20 years
Software Engineer II,105000.0,5-7 years
Design Supervisor ,75000.0,11 - 20 years
VM BACKOFFICE COORDINATOR,55.0,11 - 20 years
SDET,75000.0,8 - 10 years
Researcher,160000.0,2 - 4 years
Drug Counselor,42000.0,1 year or less
Assistant Manager,26000.0,8 - 10 years
Software Engineer,124600.0,8 - 10 years
Social media content creator ,73000.0,5-7 years
LPN,34112.0,11 - 20 years
Senior Product manager,188000.0,8 - 10 years
Editor,49920.0,5-7 years
Software Engineer Mid,38000.0,2 - 4 years
Manager,55000.0,11 - 20 years
Behavioral health vocational coach ,38000.0,5-7 years
